epoch,train_loss,val_loss,val_dice
1,0.96174,0.94301,0.00271
2,0.93737,0.93241,0.002707
3,0.92813,0.92449,0.002709
4,0.92075,0.9171,0.00271
5,0.91377,0.91063,0.002713
6,0.90713,0.90393,0.002721
7,0.90071,0.89759,0.002728
8,0.89436,0.8914,0.002771
9,0.88823,0.88555,0.002871
10,0.88222,0.87959,0.003376
11,0.87636,0.87375,0.01445
12,0.87061,0.86807,0.0511
13,0.86501,0.86254,0.09695
14,0.85939,0.85704,0.11683
15,0.85392,0.85161,0.14193
16,0.8485976087355369,0.8464565560931251,0.1338114425311483
17,0.8433238646276168,0.8412365203812009,0.1466384709190308
18,0.838116639303266,0.8361177718828595,0.1846953445051626
19,0.8329665201109017,0.8311679845764524,0.1434493894482217
20,0.8279275997913739,0.8260317861087738,0.1863391007507396
21,0.8229543058131742,0.8212477394512722,0.1959811026418809
22,0.8179966943662728,0.8162412236607264,0.204401816575304
23,0.8130268013111154,0.8112402019046602,0.1885401883921969
24,0.8080602548635046,0.8064837654431661,0.1549752331633068
25,0.803055135463285,0.801384170850118,0.1691657611706592
